,character,role,movie,line,line_sw,line_sw_stem
7558,natasha romanoff,hero,avengers: age of ultron,hey big guy we did it the job's finished now i need you to turn this bird around okay we can't track you in stealth mode so help me out i need you t,hey big guy job's finished need turn bird around okay can't track stealth mode help need,hey big guy job' finish need turn bird around okay can't track stealth mode help need
7559,vision,hero,avengers: age of ultron,you're afraid,afraid,afraid
7560,ultron,villain,avengers: age of ultron,of you,,
7561,vision,hero,avengers: age of ultron,of death you're the last one,death last one,death last one
7562,ultron,villain,avengers: age of ultron,you were supposed to be the last stark asked for a savior and settled for a slave,supposed last stark asked savior settled slave,suppos last stark ask savior settl slave
7563,vision,hero,avengers: age of ultron,i suppose we're both disappointments,suppose we're disappointments,suppos we'r disappoint
7564,ultron,villain,avengers: age of ultron,i suppose we are,suppose,suppos
7565,vision,hero,avengers: age of ultron,humans are odd they think order and chaos are somehow opposites and try to control what won't be but there is grace in their failings i think you missed that,humans odd think order chaos somehow opposites try control grace failings think missed,human odd think order chao somehow opposit tri control grace fail think miss
7566,ultron,villain,avengers: age of ultron,they're doomed,they're doomed,they'r doom
7567,vision,hero,avengers: age of ultron,yes but a thing isn't beautiful because it lasts it's a privilege to be among them,yes thing beautiful lasts privilege among,ye thing beauti last privileg among
7568,ultron,villain,avengers: age of ultron,you're unbearably naive,unbearably naive,unbear naiv
7569,vision,hero,avengers: age of ultron,well i was born yesterday,well born yesterday,well born yesterday
7571,natasha romanoff,hero,avengers: age of ultron,fat,fat,fat
7573,natasha romanoff,hero,avengers: age of ultron,right,right,right
7575,natasha romanoff,hero,avengers: age of ultron,wish you were here you sent me to recruit him way back when did you know then what was going to happen,wish sent recruit way back know going happen,wish sent recruit way back know go happen
7577,natasha romanoff,hero,avengers: age of ultron,nothing lasts forever,nothing lasts forever,noth last forev
7579,steve rogers,hero,avengers: age of ultron,the rules have changed,rules changed,rule chang
7580,tony stark,hero,avengers: age of ultron,we're dealing with something new,we're dealing something new,we'r deal someth new
7581,steve rogers,hero,avengers: age of ultron,well the vision's artificial intelligence,well vision's artificial intelligence,well vision' artifici intellig
7582,tony stark,hero,avengers: age of ultron,a machine,machine,machin
7583,steve rogers,hero,avengers: age of ultron,so it doesn't count,count,count
7584,tony stark,hero,avengers: age of ultron,no it's not like a person lifting the hammer,like person lifting hammer,like person lift hammer
7585,steve rogers,hero,avengers: age of ultron,right different rules for us,right different rules us,right differ rule us
7586,tony stark,hero,avengers: age of ultron,nice guy but artificial,nice guy artificial,nice guy artifici
7587,steve rogers,hero,avengers: age of ultron,thank you,thank,thank
7589,steve rogers,hero,avengers: age of ultron,but if you put the hammer in an elevator,put hammer elevator,put hammer elev
7590,tony stark,hero,avengers: age of ultron,it would still go up,would still go,would still go
7591,steve rogers,hero,avengers: age of ultron,elevator's not worthy,elevator's worthy,elevator' worthi
7593,tony stark,hero,avengers: age of ultron,well not if you don't leave,well leave,well leav
7595,tony stark,hero,avengers: age of ultron,triple yahtzee,triple yahtzee,tripl yahtze
7596,steve rogers,hero,avengers: age of ultron,you think you can find out what's coming,think find what's coming,think find what' come
7598,tony stark,hero,avengers: age of ultron,that man has no regard for lawn maintenance i'm gonna miss him though and you're gonna miss me there's gonna be a lot of manful tears,man regard lawn maintenance i'm gonna miss though gonna miss there's gonna lot manful tears,man regard lawn mainten i'm gonna miss though gonna miss there' gonna lot man tear
7599,steve rogers,hero,avengers: age of ultron,i will miss you tony,miss tony,miss toni
7600,tony stark,hero,avengers: age of ultron,yeah well it's time for me to tap out maybe i should take a page out of barton's book and build pepper a farm hope nobody blows it up,yeah well time tap maybe take page barton's book build pepper farm hope nobody blows,yeah well time tap mayb take page barton' book build pepper farm hope nobodi blow
7601,steve rogers,hero,avengers: age of ultron,the simple life,simple life,simpl life
7602,tony stark,hero,avengers: age of ultron,you'll get there one day,get one day,get one day
7603,steve rogers,hero,avengers: age of ultron,i don't know family stability the guy who wanted all that went in the ice seventy five years ago i think someone else came out,know family stability guy wanted went ice seventy five years ago think someone else came,know famili stabil guy want went ice seventi five year ago think someon els came
7604,tony stark,hero,avengers: age of ultron,you alright,alright,alright
7605,steve rogers,hero,avengers: age of ultron,i'm home you want to keep staring at the wall or do you want to go to work i mean it's a pretty interesting wall,i'm home want keep staring wall want go work mean pretty interesting wall,i'm home want keep stare wall want go work mean pretti interest wall
7606,natasha romanoff,hero,avengers: age of ultron,i thought you and tony were still gazing into each other's eyes how do we look,thought tony still gazing other's eyes look,thought toni still gaze other' eye look
7607,steve rogers,hero,avengers: age of ultron,well we're not the ' yankees,well we're ' yankees,well we'r ' yanke
7608,natasha romanoff,hero,avengers: age of ultron,we've got some hitters,we've got hitters,we'v got hitter
7609,steve rogers,hero,avengers: age of ultron,they're good they're not a team,they're good they're team,they'r good they'r team
7610,natasha romanoff,hero,avengers: age of ultron,let's beat 'em into shape,let's beat 'em shape,let' beat 'em shape
7611,steve rogers,hero,avengers: age of ultron,avengers,avengers,aveng
7636,scott lang,hero,ant-man,you didn’t even move,didn’t even move,didn’t even move
7638,scott lang,hero,ant-man,i mean what if i come in on the left side right just out here and see this here,mean come left side right see,mean come left side right see
7640,scott lang,hero,ant-man,i’m gonna miss you too peachy man you guys got the weirdest goodbye rituals,i’m gonna miss peachy man guys got weirdest goodbye rituals,i’m gonna miss peachi man guy got weirdest goodby ritual
7642,scott lang,hero,ant-man,hey hey man,hey hey man,hey hey man
7644,scott lang,hero,ant-man,oh well what do you think peachy his going away present,oh well think peachy going away present,oh well think peachi go away present
7646,scott lang,hero,ant-man,oh yeah,oh yeah,oh yeah
7648,scott lang,hero,ant-man,well i definitely didn’t thanks for picking me up brother,well definitely didn’t thanks picking brother,well definit didn’t thank pick brother
7650,scott lang,hero,ant-man,hey how’s your girl man,hey how’s girl man,hey how’ girl man
7652,scott lang,hero,ant-man,oh,oh,oh
7654,scott lang,hero,ant-man,it’s nice,it’s nice,it’ nice
7656,scott lang,hero,ant-man,thanks for the hook up too i needed a place to stay,thanks hook needed place stay,thank hook need place stay
7658,scott lang,hero,ant-man,i hope so,hope,hope
7660,scott lang,hero,ant-man,not interested,interested,interest
7662,scott lang,hero,ant-man,no i’m serious man i’m not going back i got a daughter to take care of,i’m serious man i’m going back got daughter take care,i’m seriou man i’m go back got daughter take care
